2020-05-17 19:00:12 [Thread-19] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:12 [Thread-13] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:12 [Thread-13] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:00:12 [Thread-13] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:12 [Thread-10] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:14 [Thread-10] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} was loaded on terminal with id 1
2020-05-17 19:00:14 [Thread-10] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:14 [Thread-5] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:15 [Thread-5] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:00:15 [Thread-5] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:15 [Thread-7] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:15 [Thread-7] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:00:15 [Thread-7] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:15 [Thread-16] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:17 [Thread-16] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} was loaded on terminal with id 1
2020-05-17 19:00:17 [Thread-16] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:17 [Thread-17] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:18 [Thread-17] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:00:18 [Thread-17] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:18 [Thread-22] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:20 [Thread-22] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} was loaded on terminal with id 1
2020-05-17 19:00:20 [Thread-22] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:20 [Thread-23] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:20 [Thread-23] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:00:20 [Thread-23] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:20 [Thread-4] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:22 [Thread-4] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} was loaded on terminal with id 1
2020-05-17 19:00:22 [Thread-4] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:00:22 [Thread-11] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:00:23 [Thread-11] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:00:23 [Thread-11] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:02 [main] INFO  prokhorenko.threads.reader.impl.FileReader - Lines were read
2020-05-17 19:02:02 [Thread-1] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=1, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:02:02 [Thread-2] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=2, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=40} stays in the queue
2020-05-17 19:02:02 [Thread-1] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=1, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:02 [Thread-3] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=3, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=50} stays in the queue
2020-05-17 19:02:02 [Thread-2] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=2, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=40} got terminal Terminal{isBusy=true, id=2}
2020-05-17 19:02:02 [Thread-4] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:02:02 [Thread-6] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=6, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=30} stays in the queue
2020-05-17 19:02:02 [Thread-5] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:02:03 [Thread-7] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} stays in the queue
2020-05-17 19:02:03 [Thread-1] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=1, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
