2020-05-17 19:02:12 [Thread-8] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=8, truckCapacityType=LARGE, cargoType=NOT_PERISHABLE, load=0} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:12 [Thread-5] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:12 [Thread-5] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:02:12 [Thread-5] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}]
2020-05-17 19:02:12 [Thread-5] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=5, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:12 [Thread-13] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:13 [Thread-13] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:02:13 [Thread-13] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}]
2020-05-17 19:02:13 [Thread-13] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=13, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:13 [Thread-17] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:13 [Thread-17] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:02:13 [Thread-17] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}]
2020-05-17 19:02:13 [Thread-17] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=17, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:13 [Thread-7] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:14 [Thread-7] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:02:14 [Thread-7] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}]
2020-05-17 19:02:14 [Thread-7] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=7, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:14 [Thread-11] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:14 [Thread-11] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} was loaded on terminal with id 1
2020-05-17 19:02:14 [Thread-11] INFO  by.prokhorenko.threads.entity.LogisticBase - [Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=10, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=4, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=23, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}, Truck{id=22, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0}, Truck{id=19, truckCapacityType=SMALL, cargoType=PERISHABLE, load=0}]
2020-05-17 19:02:14 [Thread-11] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=11, truckCapacityType=SMALL, cargoType=PERISHABLE, load=25} left the terminal Terminal{isBusy=false, id=1}
2020-05-17 19:02:14 [Thread-16] INFO  by.prokhorenko.threads.entity.LogisticBase - Truck Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=0} got terminal Terminal{isBusy=true, id=1}
2020-05-17 19:02:16 [Thread-16] INFO  by.prokhorenko.threads.entity.Terminal - Truck Truck{id=16, truckCapacityType=LARGE, cargoType=PERISHABLE, load=100} was loaded on terminal with id 1
